GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022301186,1610612738,Celtics,BOS,Boston,240.000000:00,51,89,0.573,16,32,0.5,14,21,0.667,10,38,48,29,10,15,14,13,132,10.0
0022301173,1610612738,Celtics,BOS,Boston,240.000000:00,54,104,0.519,14,41,0.341,9,13,0.692,16,37,53,34,12,1,6,20,131,33.0
0022301167,1610612738,Celtics,BOS,Boston,240.000000:00,40,86,0.465,16,42,0.381,13,16,0.813,10,26,36,25,7,12,12,16,109,-9.0
0022301148,1610612738,Celtics,BOS,Boston,240.000000:00,37,93,0.398,17,52,0.327,0,0,0.0,12,26,38,27,11,4,12,8,91,-13.0
0022301134,1610612738,Celtics,BOS,Boston,240.000000:00,49,87,0.563,16,38,0.421,10,13,0.769,5,35,40,34,11,8,12,12,124,17.0
0022301118,1610612738,Celtics,BOS,Boston,240.000000:00,38,89,0.427,12,44,0.273,13,18,0.722,12,39,51,25,6,4,7,11,101,1.0
0022301105,1610612738,Celtics,BOS,Boston,240.000000:00,50,92,0.543,17,40,0.425,18,19,0.947,11,35,46,33,7,10,10,18,135,35.0
0022301087,1610612738,Celtics,BOS,Boston,240.000000:00,43,89,0.483,19,53,0.358,13,16,0.813,11,40,51,28,3,3,10,15,118,14.0
0022301074,1610612738,Celtics,BOS,Boston,240.000000:00,39,82,0.476,15,37,0.405,11,12,0.917,8,43,51,27,7,7,12,13,104,12.0
0022301060,1610612738,Celtics,BOS,Boston,265.000000:00,45,94,0.479,14,36,0.389,18,21,0.857,9,34,43,28,7,6,12,15,122,-1.0
0022301034,1610612738,Celtics,BOS,Boston,240.000000:00,47,95,0.495,11,38,0.289,13,19,0.684,12,26,38,21,7,8,7,16,118,-2.0
0022301023,1610612738,Celtics,BOS,Boston,240.000000:00,44,86,0.512,21,48,0.438,15,17,0.882,12,29,41,28,5,3,12,9,124,11.0
0022301011,1610612738,Celtics,BOS,Boston,240.000000:00,47,89,0.528,16,45,0.356,19,27,0.704,8,27,35,31,9,5,7,15,129,27.0
0022300998,1610612738,Celtics,BOS,Boston,240.000000:00,40,85,0.471,18,40,0.45,24,29,0.828,11,26,37,25,6,5,9,18,122,3.0
0022300984,1610612738,Celtics,BOS,Boston,240.000000:00,43,95,0.453,22,49,0.449,11,13,0.846,15,38,53,30,8,8,9,9,119,25.0
0022300980,1610612738,Celtics,BOS,Boston,240.000000:00,43,87,0.494,24,50,0.48,20,24,0.833,12,31,43,30,9,6,14,17,130,26.0
0022300955,1610612738,Celtics,BOS,Boston,240.000000:00,47,89,0.528,25,50,0.5,8,11,0.727,6,27,33,31,12,5,8,13,127,15.0
0022300943,1610612738,Celtics,BOS,Boston,240.000000:00,43,92,0.467,20,49,0.408,17,19,0.895,14,32,46,25,5,8,8,14,123,16.0
0022300938,1610612738,Celtics,BOS,Boston,240.000000:00,49,100,0.49,15,40,0.375,8,12,0.667,14,31,45,34,7,10,3,11,121,22.0
0022300920,1610612738,Celtics,BOS,Boston,240.000000:00,46,94,0.489,15,39,0.385,10,13,0.769,13,30,43,29,7,4,12,12,117,10.0
0022300906,1610612738,Celtics,BOS,Boston,240.000000:00,41,91,0.451,11,38,0.289,16,25,0.64,13,34,47,24,6,3,12,18,109,-6.0
0022300886,1610612738,Celtics,BOS,Boston,240.000000:00,39,93,0.419,15,38,0.395,11,12,0.917,14,39,53,24,6,9,13,13,104,-1.0
0022300872,1610612738,Celtics,BOS,Boston,240.000000:00,53,96,0.552,25,49,0.51,9,11,0.818,7,44,51,35,10,5,7,19,140,52.0
0022300859,1610612738,Celtics,BOS,Boston,240.000000:00,52,94,0.553,21,43,0.488,13,13,1.0,9,38,47,33,4,8,9,15,138,28.0
0022300836,1610612738,Celtics,BOS,Boston,240.000000:00,39,74,0.527,5,22,0.227,34,37,0.919,9,47,56,21,7,9,14,16,117,18.0
0022300816,1610612738,Celtics,BOS,Boston,240.000000:00,46,81,0.568,15,35,0.429,9,12,0.75,11,25,36,27,8,4,7,16,116,14.0
0022300797,1610612738,Celtics,BOS,Boston,240.000000:00,45,83,0.542,23,47,0.489,16,21,0.762,5,31,36,27,10,11,13,16,129,17.0
0022300780,1610612738,Celtics,BOS,Boston,240.000000:00,52,91,0.571,22,45,0.489,10,12,0.833,10,41,51,32,6,5,8,13,136,50.0
0022300771,1610612738,Celtics,BOS,Boston,240.000000:00,43,83,0.518,15,37,0.405,17,23,0.739,7,32,39,31,6,1,13,24,118,8.0
0022300759,1610612738,Celtics,BOS,Boston,240.000000:00,41,81,0.506,16,39,0.41,12,17,0.706,6,36,42,27,1,9,9,13,110,4.0
0022300743,1610612738,Celtics,BOS,Boston,240.000000:00,48,92,0.522,11,34,0.324,26,28,0.929,9,40,49,25,9,5,13,17,133,4.0
0022300729,1610612738,Celtics,BOS,Boston,240.000000:00,49,93,0.527,17,49,0.347,10,11,0.909,6,39,45,33,6,9,14,16,125,8.0
0022300706,1610612738,Celtics,BOS,Boston,240.000000:00,48,99,0.485,19,51,0.373,16,18,0.889,17,40,57,30,12,4,10,13,131,40.0
0022300684,1610612738,Celtics,BOS,Boston,240.000000:00,41,97,0.423,16,48,0.333,7,7,1.0,14,40,54,30,4,12,15,19,105,-9.0
0022300670,1610612738,Celtics,BOS,Boston,240.000000:00,47,87,0.54,17,36,0.472,18,22,0.818,7,33,40,25,6,9,10,16,129,5.0
0022300659,1610612738,Celtics,BOS,Boston,240.000000:00,43,85,0.506,17,46,0.37,15,20,0.75,6,34,40,27,7,5,11,15,118,6.0
0022300646,1610612738,Celtics,BOS,Boston,240.000000:00,36,100,0.36,10,40,0.25,14,16,0.875,18,34,52,21,2,9,11,13,96,-19.0
0022300630,1610612738,Celtics,BOS,Boston,240.000000:00,51,80,0.637,22,40,0.55,19,20,0.95,6,41,47,36,4,5,11,10,143,33.0
0022300611,1610612738,Celtics,BOS,Boston,240.000000:00,41,88,0.466,15,46,0.326,22,30,0.733,5,39,44,26,7,8,6,20,119,9.0
0022300603,1610612738,Celtics,BOS,Boston,240.000000:00,43,98,0.439,17,47,0.362,13,18,0.722,16,39,55,31,10,12,16,17,116,9.0
0022300586,1610612738,Celtics,BOS,Boston,240.000000:00,38,89,0.427,14,44,0.318,10,14,0.714,12,26,38,21,5,2,2,17,100,-2.0
0022300571,1610612738,Celtics,BOS,Boston,240.000000:00,42,90,0.467,18,38,0.474,15,19,0.789,12,42,54,22,5,6,12,15,117,19.0
0022300563,1610612738,Celtics,BOS,Boston,240.000000:00,33,82,0.402,16,39,0.41,23,25,0.92,5,48,53,20,3,7,12,16,105,9.0
0022300542,1610612738,Celtics,BOS,Boston,240.000000:00,51,95,0.537,24,47,0.511,19,25,0.76,10,40,50,26,7,8,11,21,145,32.0
0022300528,1610612738,Celtics,BOS,Boston,240.000000:00,34,91,0.374,9,35,0.257,25,30,0.833,6,25,31,22,5,5,6,13,102,-33.0
0022300517,1610612738,Celtics,BOS,Boston,265.000000:00,39,90,0.433,19,47,0.404,30,31,0.968,7,39,46,21,5,4,8,19,127,7.0
0022300507,1610612738,Celtics,BOS,Boston,240.000000:00,47,90,0.522,17,35,0.486,20,29,0.69,13,29,42,26,3,8,15,20,131,-2.0
0022300493,1610612738,Celtics,BOS,Boston,240.000000:00,46,90,0.511,16,41,0.39,10,19,0.526,13,43,56,26,6,6,17,20,118,17.0
0022300479,1610612738,Celtics,BOS,Boston,240.000000:00,39,90,0.433,17,49,0.347,31,36,0.861,9,47,56,24,9,8,12,23,126,29.0
